Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
800.00,3.00,2.00,Semi-Furnished,Rohini Sector 25,1.00,6500000.00,Ready_to_move,New_Property,Builder_Floor,
750.00,2.00,2.00,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.00,5000000.00,Ready_to_move,New_Property,Apartment,6667 
950.00,2.00,2.00,Furnished,"Citizen Apartment, Rohini Sector 13",1.00,15500000.00,Ready_to_move,Resale,Apartment,6667 
600.00,2.00,2.00,Semi-Furnished,Rohini Sector 24,1.00,4200000.00,Ready_to_move,Resale,Builder_Floor,6667 
650.00,2.00,2.00,Semi-Furnished,"Rohini Sector 24 carpet area 650 sqft status Ready to Move floor 4 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2BHK Newly build property for Sale. A House is waiting for a Friendly Family to make it a lovely home.So please come and make his house feel alive once again. read more Contact Agent View Phone No. Share Feedback Garima properties Certified Agent Trusted by Users Genuine Listings Market Knowledge",1.00,6200000.00,Ready_to_move,New_Property,Builder_Floor,6667 
1300.00,4.00,3.00,Semi-Furnished,Rohini Sector 24,1.00,15500000.00,Ready_to_move,New_Property,Builder_Floor,6667 
1350.00,4.00,3.00,Semi-Furnished,Rohini Sector 24,1.00,10000000.00,Ready_to_move,Resale,Builder_Floor,6667 
650.00,2.00,2.00,Semi-Furnished,"Delhi Homes, Rohini Sector 24",1.00,4000000.00,Ready_to_move,New_Property,Apartment,6154 
985.00,3.00,3.00,Unfurnished,Rohini Sector 21,1.00,6800000.00,Almost_ready,New_Property,Builder_Floor,6154 
1300.00,4.00,4.00,Semi-Furnished,Rohini Sector 22,1.00,15000000.00,Ready_to_move,New_Property,Builder_Floor,6154 
1100.00,3.00,2.00,Semi-Furnished,Rohini Sector 20,1.00,6200000.00,Ready_to_move,New_Property,Builder_Floor,6154 
870.00,3.00,2.00,Semi-Furnished,Rohini Sector 25,1.00,7700000.00,Ready_to_move,New_Property,Builder_Floor,6154 
630.00,2.00,2.00,Semi-Furnished,Rohini Sector 24,1.00,5500000.00,Ready_to_move,New_Property,Builder_Floor,6154 
660.00,2.00,2.00,Semi-Furnished,Rohini Sector 24,1.00,5000000.00,Ready_to_move,Resale,Builder_Floor,6154 
344.44,2.00,2.00,Semi-Furnished,Rohini Sector 8 How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 32 sqm status Ready to Move floor 1 transaction Resale furnishing Semi-Furnished Contact Now Enquire Now Auction By,1.00,3310000.00,Ready_to_move,Resale,Builder_Floor,6154 
